Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,61,0,1939
2,41,0,1898
3,36,0,1862
4,101,0,1761
5,159,0,1602
6,119,0,1483
7,0,517,2000
8,178,0,1822
9,196,0,1626
10,125,0,1501
11,39,0,1462
12,77,0,1385
13,126,0,1259
14,0,741,2000
15,13,0,1987
16,25,0,1962
17,31,0,1931
18,14,0,1917
19,156,0,1761
20,12,0,1749
21,0,251,2000
22,141,0,1859
23,179,0,1680
24,134,0,1546
25,131,0,1415
26,156,0,1259
27,199,0,1060
28,0,940,2000
29,13,0,1987
30,116,0,1871
31,46,0,1825
32,21,0,1804
33,111,0,1693
34,15,0,1678
35,0,322,2000
36,142,0,1858
37,46,0,1812
38,10,0,1802
39,180,0,1622
40,2,0,1620
41,124,0,1496
42,0,504,2000
43,91,0,1909
44,94,0,1815
45,50,0,1765
46,116,0,1649
47,108,0,1541
48,123,0,1418
49,0,582,2000
